PlayerId,DraftSeason,CollegePosition,ProPosition,FirstName,LastName,Hgt,Wgt,Age,Forty,Arm,Hand,Wing,Test,TestAttempt,TenYard,TwentyYard,ThreeCone,VJ,BJ,TwentyShuttle,SixtyShuttle,BP,BodyFat,LeanMass,IndyInvite
57442,2012,DE,OLB,COURTNEY,HUNT,75.88,251,23,4.64,33.75,10,81,16,37,1.6,2.64,6.8,41.5,10.08,4.26,11.49,22,NULL,NULL,N
59657,2015,DC,DC,RAIBONNE,AGUILAR,72,195,23.4,4.43,31.25,8.875,75.25,8,27,1.57,2.57,6.98,38,9.05,4.37,11.57,12,NULL,NULL,N
92052,2013,OG,OG,CHRIS,PENDLETON,75.13,312,21.7,4.96,34.75,9.375,81.75,29,49,1.76,2.89,NULL,NULL,NULL,NULL,NULL,27,22.6,241.369,Y
93332,2012,OC,OC,JEREMY,ANDERSON,76.38,312,22.8,5.3,31.5,9.625,75.375,27,50,1.82,3.07,7.73,25,8,4.6,NULL,29,29.3,221.437,Y
76796,2013,DC,DC,LYNDELL,MORGAN,72.13,216,23.2,4.37,32,8.875,76.75,22,31,1.6,2.59,7.1,34.5,9.09,4.3,NULL,23,11,192.426,Y
65838,2013,DE,DE,DOMINIQUE,HUDSON,76.63,268,23.5,5.07,33.375,9.125,77.5,10,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
64547,2013,DE,DE,MARVIN,SANKEY,78.5,270,22.1,4.85,34.625,9.625,83.375,29,44,1.7,2.82,7.33,32.5,9,4.82,NULL,NULL,NULL,NULL,N
71391,2013,OT,OT,CHRISTOPHER,SEISAY,76.75,300,23.7,5.23,33.5,10.25,81,18,28,1.81,3.06,7.81,24.5,8.08,4.75,NULL,15,NULL,NULL,N
88459,2015,WR,WR,VERNON,SANDERS,72.88,211,20.9,4.36,31.5,10,76.25,21,27,1.58,2.55,6.71,33,10,3.98,11.57,NULL,9.7,191.081,Y
15873,2015,OG,OG,MARCUS,JAMES,77.63,324,22.3,5.55,NULL,NULL,NULL,25,43,1.95,3.16,7.88,26,8.02,4.79,NULL,22,NULL,NULL,N
86877,2014,RB,RB,LUKE,WATKINS,65.25,194,22.8,4.62,27,8.75,65.125,26,42,1.57,2.65,7.09,32.5,8.08,4.31,11.69,23,NULL,NULL,N
36216,2013,ILB,ILB,BRONSON,WILLIS,72.38,227,23.8,4.71,30.25,8.5,73.5,30,49,1.69,2.76,7.2,34,9.11,4.6,NULL,24,NULL,NULL,N
